screen_name,dbpedia_types
jamesdrodriguez,"[['Person', 'Athlete', 'SoccerPlayer']]"
SnoopDogg,"[['Person', 'Artist', 'MusicalArtist']]"
AmitShah,"[['Person', 'Politician', 'Politician']]"
CNNEE,"[['TelevisionStation', 'Broadcaster', 'Organisation']]"
CNNEE,"[['RadioStation', 'Broadcaster', 'Organisation']]"
GarethBale11,"[['Person', 'Athlete', 'SoccerPlayer']]"
KDTrey5,"[['Person', 'Athlete', 'BasketballPlayer']]"
shugairi,[['TelevisionHost']]
aplusk,[['Person']]
agnezmo,"[['Person', 'MusicalArtist']]"
ArvindKejriwal,"[['Person', 'Politician', 'Politician']]"
FALCAO,"[['Person', 'Athlete', 'SoccerPlayer']]"
DaniloGentili,[['Person']]
ImRaina,"[['Person', 'Athlete', 'Cricketer']]"
Zendaya,[['Person']]
WayneRooney,"[['SoccerPlayer', 'Person']]"
WayneRooney,"[['SoccerManager', 'SportsManager', 'Person']]"
xtina,"[['Person', 'Artist', 'MusicalArtist']]"
ParisHilton,[['Person']]
karanjohar,[['Person']]
SergioRamos,"[['Person', 'Athlete', 'SoccerPlayer']]"
ivetesangalo,"[['Person', 'MusicalArtist']]"
tomhanks,[['Actor']]
9GAG,"[['Website', 'Work']]"
ImRo45,"[['Person', 'Athlete', 'Cricketer']]"
LuisSuarez9,"[['Person', 'Athlete', 'SoccerPlayer']]"
rajnathsingh,"[['Person', 'Politician', 'Politician']]"
ZacEfron,[['Person']]
Forbes,"[['Magazine', 'WrittenWork', 'PeriodicalLiterature', 'Work']]"
camerondallas,[['Person']]
MTV,"[['Organisation', 'TelevisionStation', 'Broadcaster']]"
radityadika,[['Person']]
RyanSeacrest,[['Person']]
Arsenal,"[['Organisation', 'SoccerClub', 'SportsClub']]"
VancityReynolds,[['Person']]
RafaelNadal,"[['Person', 'Athlete', 'TennisPlayer']]"
Diddy,"[['Person', 'MusicalArtist']]"
ddlovato,"[['Person', 'Artist', 'MusicalArtist']]"
paulocoelho,"[['Person', 'Writer']]"
Beyonce,"[['Person', 'Artist', 'MusicalArtist']]"
AnupamPKher,[['Actor']]
sonakshisinha,"[['Person', 'MusicalArtist']]"
SHAQ,"[['Person', 'Athlete', 'BasketballPlayer']]"
RTErdogan,"[['Person', 'Politician', 'Politician']]"
washingtonpost,"[['Newspaper', 'WrittenWork', 'PeriodicalLiterature', 'Work']]"
ABC,"[['Company', 'Organisation']]"
arunjaitley,"[['Person', 'Politician', 'Politician']]"
FCBarcelona_es,"[['Organisation', 'SoccerClub', 'SportsClub']]"
POTUS44,"[['Person', 'Politician', 'Politician']]"
juniorbachchan,[['Actor']]
TwitterLatAm,"[['Company', 'Organisation']]"
TwitterLatAm,"[['Website', 'Work']]"
TwitterVideo,"[['Company', 'Organisation']]"
TwitterVideo,"[['Website', 'Work']]"
whindersson,"[['Person', 'Youtuber']]"
shahidkapoor,[['Actor']]
AJArabic,"[['BroadcastNetwork', 'Broadcaster', 'Organisation']]"
AJArabic,[['Person']]
AJArabic,"[['TelevisionStation', 'Broadcaster', 'Organisation']]"
RobertDowneyJr,[['Actor']]
maroon5,"[['Band', 'Organisation', 'Group']]"
MichelleObama,"[['Person', 'Politician', 'Politician']]"
nickjonas,"[['Person', 'MusicalArtist']]"
BigSean,"[['Person', 'Artist', 'MusicalArtist']]"
CMYLMZ,[['Actor']]
ClaudiaLeitte,[['Person']]
tyrabanks,[['Person']]
NancyAjram,"[['Person', 'MusicalArtist']]"
TheRock,[['Person']]
rickygervais,"[['Person', 'Artist', 'Comedian']]"
LFC,"[['Organisation', 'SoccerClub', 'SportsClub']]"
Asli_Jacqueline,[['Person']]
StephenCurry30,"[['Person', 'Athlete', 'BasketballPlayer']]"
SethMacFarlane,[['Person']]
enriqueiglesias,"[['Person', 'MusicalArtist']]"
ChelseaFC,"[['Organisation', 'SoccerClub', 'SportsClub']]"
RealHughJackman,[['Person']]
AlArabiya,"[['RadioStation', 'Broadcaster', 'Organisation']]"
AlArabiya,"[['TelevisionStation', 'Broadcaster', 'Organisation']]"
mangeshkarlata,"[['Person', 'MusicalArtist']]"
TreySongz,"[['Person', 'Artist', 'MusicalArtist']]"
Rubiu5,"[['Person', 'Youtuber']]"
AP,"[['Company', 'Organisation']]"
ChrisEvans,[['Actor']]
FLOTUS,[['Company']]
FLOTUS,"[['Politician', 'Person']]"
ParineetiChopra,[['Actor']]
aguerosergiokun,"[['Person', 'Athlete', 'SoccerPlayer']]"
johnlegend,"[['Person', 'Artist', 'MusicalArtist']]"
RanveerOfficial,[['Actor']]
marcosmion,"[['Actor', 'Artist', 'Person']]"
marcosmion,"[['TelevisionHost', 'Person']]"
vicegandako,[['Person']]
FIFAcom,[['Organisation']]
CHANEL,[['Company']]
jokowi,"[['Person', 'Politician', 'Politician']]"
SushmaSwaraj,"[['Person', 'Politician', 'Politician']]"
daddy_yankee,"[['Person', 'MusicalArtist']]"
BJP4India,[['PoliticalParty']]
ashleytisdale,[['Person']]
sonamakapoor,[['Actor']]
LucianoHuck,[['Person']]
annecurtissmith,[['Actor']]
stephenfry,[['Person']]
RahulGandhi,"[['Person', 'Politician', 'Politician']]"
rogerfederer,"[['Person', 'Athlete', 'TennisPlayer']]"
richardbranson,[['Person']]
chetan_bhagat,"[['Person', 'Writer']]"
XHNews,"[['RadioStation', 'Organisation']]"
XHNews,"[['Company', 'Organisation']]"
SarahKSilverman,"[['Person', 'Artist', 'Comedian']]"
CalvinHarris,"[['Person', 'MusicalArtist']]"
markiplier,"[['Person', 'Youtuber']]"
chrissyteigen,"[['Person', 'Model']]"
victoriabeckham,[['Person']]
ajaydevgn,[['Person']]
kellyclarkson,"[['Person', 'Artist', 'MusicalArtist']]"
ndtv,"[['Broadcaster', 'Organisation']]"
ndtv,"[['Company', 'Organisation']]"
FarOutAkhtar,[['Person']]
ShraddhaKapoor,[['Person']]
ZoeSugg,"[['Person', 'Writer']]"
JohnCena,"[['Person', 'Wrestler']]"
thekiranbedi,"[['Person', 'Politician', 'Politician']]"
RedeGlobo,[['TelevisionStation']]
UN,[['Organisation']]
SamsungMobile,[['Company']]
kendricklamar,"[['Person', 'Artist', 'MusicalArtist']]"
XabiAlonso,"[['SoccerPlayer', 'Person']]"
XabiAlonso,"[['SoccerManager', 'SportsManager', 'Person']]"
mindykaling,[['Person']]
LittleMix,"[['Band', 'Organisation', 'Group']]"
enews,"[['Organisation', 'TelevisionStation', 'Broadcaster']]"
LunaMaya26,[['Actor']]
143redangel,[['Actor']]
cinema21,"[['Company', 'Organisation']]"
jimmykimmel,"[['Person', 'Artist', 'Comedian']]"
Carles5puyol,"[['Person', 'Athlete', 'SoccerPlayer']]"
tim_cook,[['Person']]
MoSalah,"[['Person', 'Athlete', 'SoccerPlayer']]"
BillClinton,"[['Person', 'Politician', 'Politician']]"
rafinhabastos,[['Actor']]
GermanGarmendia,"[['Person', 'Youtuber']]"
Pixar,"[['Company', 'Organisation']]"
50cent,"[['Person', 'Artist', 'MusicalArtist']]"
BernieSanders,"[['Person', 'Politician', 'Politician']]"
rustyrockets,"[['Person', 'Artist', 'Comedian']]"
Ludacris,"[['Person', 'Artist', 'MusicalArtist']]"
theweeknd,"[['Person', 'MusicalArtist']]"
HuffPost,"[['Website', 'Work']]"
TheOnion,[['Company']]
TheOnion,"[['Newspaper', 'PeriodicalLiterature', 'WrittenWork', 'Work']]"
Tatawerneck,[['Actor']]
ciara,"[['Person', 'Artist', 'MusicalArtist']]"
MarcAnthony,"[['Person', 'Artist', 'MusicalArtist']]"
realmadriden,"[['Organisation', 'SoccerClub', 'SportsClub']]"
ImranKhanPTI,"[['Person', 'Politician', 'Politician']]"
Starbucks,[['Company']]
Varun_dvn,[['Actor']]
PaulinaRubio,"[['Person', 'Artist', 'MusicalArtist']]"
charliesheen,[['Person']]
SabrinaSato,[['Person']]
BCCI,[['Country']]
BCCI,"[['CricketTeam', 'SportsTeam', 'Organisation']]"
billmaher,"[['Person', 'Artist', 'Comedian']]"
Camila_Cabello,"[['Person', 'MusicalArtist']]"
yadavakhilesh,"[['Person', 'Politician', 'Politician']]"
felipeneto,"[['Person', 'Youtuber']]"
Pharrell,"[['Person', 'MusicalArtist']]"
Byoussef,"[['Person', 'Artist', 'Comedian']]"
WWE,"[['Company', 'Organisation']]"
serenawilliams,"[['Person', 'Athlete', 'TennisPlayer']]"
gusttavo_lima,"[['Person', 'Artist', 'MusicalArtist']]"
KrisJenner,[['Person']]
sherinasinna,"[['Person', 'Artist', 'MusicalArtist']]"
amrkhaled,[['Person']]
iamcardib,[['Person']]
Benzema,"[['Person', 'Athlete', 'SoccerPlayer']]"
JKCorden,[['Person']]
BBCNews,"[['Company', 'Organisation']]"
ICC,[['Organisation']]
azizansari,[['Actor']]
luansantana,"[['Person', 'MusicalArtist']]"
smritiirani,"[['Person', 'Politician', 'Politician']]"
EugenioDerbez,[['Person']]
Ricardo_Arjona,"[['Athlete', 'Person']]"
Ricardo_Arjona,"[['MusicalArtist', 'Artist', 'Person']]"
NintendoAmerica,"[['Company', 'Organisation']]"
Luke5SOS,[['Person']]
harbhajan_singh,"[['Person', 'Athlete', 'Cricketer']]"
amrdiab,"[['Person', 'Artist', 'MusicalArtist']]"
Trevornoah,"[['Person', 'Artist', 'Comedian']]"
RockstarGames,"[['Company', 'Organisation']]"
VictoriaJustice,[['Actor']]
GautamGambhir,"[['Person', 'Cricketer']]"
joejonas,[['Actor']]
cuervotinelli,[['TelevisionHost']]
Riteishd,[['Actor']]
TechCrunch,"[['Website', 'Work']]"
carlyraejepsen,"[['Person', 'Artist', 'MusicalArtist']]"
bernardokath,[['Actor']]
showdavida,"[['TelevisionShow', 'Work']]"
davidbisbal,"[['Person', 'Artist', 'MusicalArtist']]"
cnni,"[['Organisation', 'TelevisionStation', 'Broadcaster']]"
FortniteGame,[['VideoGame']]
cesc4official,"[['Person', 'Athlete', 'SoccerPlayer']]"
andersoncooper,[['Person']]
SpaceX,"[['Company', 'Organisation']]"
maddow,[['Person']]
Caradelevingne,"[['Person', 'Model']]"
colesprouse,[['Actor']]
TareqAlSuwaidan,[['Person']]
shanedawson,"[['Person', 'Youtuber']]"
Anahi,"[['Person', 'Politician']]"
mashable,"[['Website', 'Work']]"
LanaDelRey,"[['Person', 'MusicalArtist']]"
AppleMusic,[['RadioStation']]
thalia,"[['Person', 'Artist', 'MusicalArtist']]"
LuisFonsi,"[['Person', 'MusicalArtist']]"
AustinMahone,"[['Person', 'Artist', 'MusicalArtist']]"
TwitterLive,"[['Website', 'Work']]"
TwitterLive,"[['Company', 'Organisation']]"
MeekMill,"[['Person', 'Artist', 'MusicalArtist']]"
MarceloTas,[['Actor']]
BreakingNews,"[['Company', 'Organisation']]"
SenSanders,"[['Person', 'Politician', 'Politician']]"
TwitterTV,"[['Company', 'Organisation']]"
TwitterTV,"[['Website', 'Work']]"
marcoluque,[['Actor']]
urstrulyMahesh,[['Actor']]
IkerCasillas,"[['Person', 'Athlete', 'SoccerPlayer']]"
Guaje7Villa,"[['Person', 'Athlete', 'SoccerPlayer']]"
CH14_,"[['Person', 'Athlete', 'SoccerPlayer']]"
dhanushkraja,[['Actor']]
DaniAlvesD2,"[['Person', 'Athlete', 'SoccerPlayer']]"
marcjacobs,"[['Person', 'Artist', 'FashionDesigner']]"
Tip,"[['Person', 'Artist', 'MusicalArtist']]"
DwyaneWade,"[['Person', 'Athlete', 'BasketballPlayer']]"
sardesairajdeep,[['Person']]
SofiaVergara,[['Actor']]
Microsoft,[['Company']]
MadhuriDixit,[['Actor']]
realmadridarab,"[['Organisation', 'SoccerClub', 'SportsClub']]"
NetflixBrasil,[['Company']]
lindsaylohan,[['Actor']]
Swamy39,"[['Person', 'Politician', 'Politician']]"
vidialdiano,"[['Person', 'Artist', 'MusicalArtist']]"
NoticiasCaracol,"[['TelevisionShow', 'Work']]"
MLB,[['PersonFunction']]
MLB,"[['BaseballLeague', 'SportsLeague', 'Organisation']]"
JessieJ,[['MusicalArtist']]
Discovery,"[['Organisation', 'TelevisionStation', 'Broadcaster']]"
guardian,"[['Newspaper', 'WrittenWork', 'PeriodicalLiterature', 'Work']]"
cbabdullahgul,[['Politician']]
MonsieurDream,"[['Person', 'Youtuber']]"
imdanielpadilla,[['Actor']]
NSaina,"[['Person', 'Athlete', 'BadmintonPlayer']]"
MacMiller,[['MusicalArtist']]
TheDailyShow,"[['TelevisionShow', 'Work']]"
TheDailyShow,[['RadioStation']]
BleacherReport,"[['Website', 'Work']]"
BleacherReport,[['Company']]
bhogleharsha,[['Person']]
carrieunderwood,"[['Person', 'Artist', 'MusicalArtist']]"
muyinteresante,"[['Magazine', 'WrittenWork', 'PeriodicalLiterature', 'Work']]"
steveaoki,"[['Person', 'Artist', 'MusicalArtist']]"
Burberry,[['Company']]
hm,[['Company']]
gucci1017,"[['Person', 'Artist', 'MusicalArtist']]"
BBCSport,"[['Company', 'Organisation']]"
BBCSport,[['Settlement']]
Sethrogen,[['Actor']]
channingtatum,[['Actor']]
CarlosLoret,[['Person']]
danielhowell,"[['Person', 'Youtuber']]"
IvankaTrump,[['Person']]
chelseahandler,[['Person']]
Mascherano,"[['Person', 'Athlete', 'SoccerPlayer']]"
najwakaram,"[['Person', 'Artist', 'MusicalArtist']]"
Dior,[['Company']]
NPR,"[['BroadcastNetwork', 'Organisation', 'Broadcaster']]"
SMTOWNGLOBAL,"[['Person', 'Artist', 'MusicalArtist']]"
UNICEF,[['Organisation']]
ToniKroos,"[['Person', 'Athlete', 'SoccerPlayer']]"
jaden,[['Person']]
Zedd,"[['Person', 'Artist', 'MusicalArtist']]"
TheNotoriousMMA,"[['Person', 'Athlete', 'MartialArtist']]"
juventusfc,"[['Organisation', 'SoccerClub', 'SportsClub']]"
CP3,"[['Person', 'Athlete', 'BasketballPlayer']]"
IAMQUEENLATIFAH,"[['Person', 'MusicalArtist']]"
IGGYAZALEA,"[['Person', 'MusicalArtist']]"
Samanthaprabhu2,[['Actor']]
RNTata2000,[['BusinessPerson']]
thevirdas,[['Actor']]
gadelmaleh,[['Person']]
juanmata8,"[['Person', 'Athlete', 'SoccerPlayer']]"
ManCity,"[['Organisation', 'SoccerClub', 'SportsClub']]"
msdhoni,"[['Person', 'Athlete', 'Cricketer']]"
mcuban,[['Person']]
SpiderAnderson,"[['Person', 'Athlete', 'MartialArtist']]"
JuanLuisGuerra,"[['Person', 'MusicalArtist']]"
GOT7Official,"[['Band', 'Organisation', 'Group']]"
PSG_inside,"[['Organisation', 'SoccerClub', 'SportsClub']]"
PiyushGoyal,"[['Person', 'Politician', 'Politician']]"
prattprattpratt,[['Actor']]
shrutihaasan,[['Actor']]
kompascom,"[['Newspaper', 'WrittenWork', 'PeriodicalLiterature', 'Work']]"
HARDWELL,"[['Person', 'Artist', 'MusicalArtist']]"
lopezdoriga,[['Journalist']]
Ubisoft,[['Company']]
anandmahindra,[['BusinessPerson']]
GaryLineker,"[['Person', 'Athlete', 'SoccerPlayer']]"
jorgeemateus,"[['Band', 'Organisation', 'Group']]"
lorde,"[['Person', 'MusicalArtist']]"
DebbouzeJamel,[['Person']]
LouisVuitton,"[['Organisation', 'Company']]"
ufc,"[['Company', 'Organisation']]"
robkardashian,[['Person']]
YengPLUGGEDin,"[['Person', 'MusicalArtist']]"
BruMarquezine,[['Actor']]
anirudhofficial,"[['Person', 'Artist', 'MusicalArtist']]"
el_pais,"[['Newspaper', 'WrittenWork', 'PeriodicalLiterature', 'Work']]"
netflix,[['Company']]
TripleH,"[['Person', 'Wrestler']]"
AmazingPhil,"[['Person', 'Youtuber']]"
paugasol,"[['Person', 'Athlete', 'BasketballPlayer']]"
myogiadityanath,"[['Person', 'Politician', 'Politician']]"
MirandaCosgrove,[['Actor']]
CBSNews,[['Organisation']]
EPN,"[['Person', 'Politician', 'Politician']]"
IGN,"[['VideoGame', 'Work']]"
IGN,[['Company']]
IGN,"[['Website', 'Work']]"
NBCNews,"[['Company', 'Organisation']]"
ShashiTharoor,"[['Person', 'Politician', 'Politician']]"
hollywills,[['Person']]
paulpogba,"[['Person', 'Athlete', 'SoccerPlayer']]"
maisa,[['Person']]
GordonRamsay,"[['Person', 'Chef']]"
AndreaRussett,"[['Person', 'Youtuber']]"
AnnaKendrick47,[['Actor']]
iamsuperbianca,"[['Person', 'Model']]"
SkySportsNews,"[['Organisation', 'TelevisionStation', 'Broadcaster']]"
NormanDesVideos,"[['Person', 'Youtuber']]"
JBALVIN,"[['Person', 'MusicalArtist']]"
LMFAO,"[['Band', 'Organisation', 'Group']]"
ollymurs,[['Band']]
ollymurs,"[['SoccerPlayer', 'Athlete', 'Person']]"
SamiAlJaber,"[['SoccerPlayer', 'Person']]"
SamiAlJaber,"[['SoccerManager', 'SportsManager', 'Person']]"
fatihportakal,[['Journalist']]
ariyoshihiroiki,[['Person']]
piersmorgan,[['Person']]
CodySimpson,"[['Person', 'Artist', 'MusicalArtist']]"
trvisXX,"[['Person', 'MusicalArtist']]"
KadimAlSahirORG,"[['Person', 'Artist', 'MusicalArtist']]"
IPL,[['PersonFunction']]
IPL,[['SportsLeague']]
Calum5SOS,"[['Person', 'Artist', 'MusicalArtist']]"
htTweets,"[['Newspaper', 'WrittenWork', 'PeriodicalLiterature', 'Work']]"
JeffreeStar,[['Person']]
JeremyClarkson,[['Person']]
ninadobrev,[['Actor']]
lucyhale,[['Actor']]
EvaLongoria,[['Actor']]
DulceMaria,[['Actor']]
OfficialHenedy,[['Actor']]
la_patilla,"[['Website', 'Work']]"
AllIndiaBakchod,"[['Person', 'Youtuber']]"
GooglePlay,[['Company']]
matsu_bouzu,[['Person']]
iansomerhalder,[['Person']]
BDUTT,[['Person']]
aristeguicnn,[['Journalist']]
VanessaHudgens,[['Person']]
amrwaked,[['Actor']]
Khunnie0624,"[['Person', 'Artist', 'MusicalArtist']]"
mirandalambert,"[['Person', 'Artist', 'MusicalArtist']]"
Bourdain,"[['Person', 'Chef']]"
ABdeVilliers17,"[['Person', 'Athlete', 'Cricketer']]"
shreyaghoshal,"[['Person', 'MusicalArtist']]"
Fearnecotton,[['Person']]
TwitterMovies,"[['Company', 'Organisation']]"
TwitterMovies,"[['Website', 'Work']]"
waleedalfarraj,[['Journalist']]
CherLloyd,"[['Person', 'Artist', 'MusicalArtist']]"
KELLYROWLAND,"[['Person', 'Artist', 'MusicalArtist']]"
DrKumarVishwas,"[['Person', 'Writer']]"
bellathorne,[['Actor']]
cuneytozdemir,[['Person']]
kilicdarogluk,"[['Person', 'Politician', 'Politician']]"
manoharparrikar,"[['Person', 'Politician', 'Politician']]"
EuropaLeague,[['SoccerTournament']]
fayez_malki,[['Actor']]
WHO,[['Organisation']]
okanbayulgen,[['Actor']]
ScottDisick,[['BusinessPerson']]
HaifaWehbe,"[['Person', 'MusicalArtist']]"
alexoficial,"[['Person', 'Artist', 'MusicalArtist']]"
MissyElliott,"[['Person', 'MusicalArtist']]"
TheFarahKhan,[['Person']]
elliegoulding,"[['Person', 'Artist', 'MusicalArtist']]"
Nashgrier,[['Person']]
antanddec,[['Person']]
yousuck2020,[['Person']]
jimmycarr,"[['Person', 'Artist', 'Comedian']]"
G_Higuain,"[['Person', 'Athlete', 'SoccerPlayer']]"
hazardeden10,"[['Person', 'Athlete', 'SoccerPlayer']]"
jccaylen,"[['Person', 'Youtuber']]"
TomCruise,[['Person']]
NeYoCompound,"[['Person', 'MusicalArtist']]"
BTS_jp_official,"[['Band', 'Organisation', 'Group']]"
chrishemsworth,[['Actor']]
abuabdelelah,"[['Person', 'Religious']]"
VhongX44,[['Person']]
lopezobrador_,"[['Person', 'Politician', 'Politician']]"
thetanmay,[['Person']]
AOC,"[['Person', 'Politician']]"
EW,"[['Magazine', 'PeriodicalLiterature', 'WrittenWork', 'Work']]"
EW,"[['AcademicJournal', 'PeriodicalLiterature', 'WrittenWork', 'Work']]"
jamieoliver,[['Person']]
ElJuanpaZurita,[['Person']]
MYXphilippines,"[['RadioStation', 'Broadcaster', 'Organisation']]"
MYXphilippines,"[['TelevisionStation', 'Broadcaster', 'Organisation']]"
foodandwine,"[['Magazine', 'WrittenWork', 'PeriodicalLiterature', 'Work']]"
FLOTUS44,"[['Person', 'Politician', 'Politician']]"
DwightHoward,"[['Person', 'Athlete', 'BasketballPlayer']]"
BuzzFeed,[['Company']]
BuzzFeed,"[['Website', 'Work']]"
googlechrome,"[['Software', 'Work']]"
SalehAlmoghamsy,[['Person']]
PrinceRoyce,"[['Person', 'Artist', 'MusicalArtist']]"
JessicaSimpson,"[['Person', 'MusicalArtist']]"
majutrindade,"[['Person', 'Model']]"
DemetAkalin,"[['Person', 'MusicalArtist']]"
JohnLegere,[['BusinessPerson']]
TigerWoods,"[['Person', 'Athlete', 'GolfPlayer']]"
nitin_gadkari,"[['Person', 'Politician', 'Politician']]"
MarkRuffalo,[['Actor']]
7sainaljassmi,"[['Person', 'Artist', 'MusicalArtist']]"
bipsluvurself,[['Actor']]
KianLawley,"[['Person', 'Youtuber']]"
Y20,"[['Person', 'Athlete', 'SoccerPlayer']]"
FinancialTimes,"[['Newspaper', 'PeriodicalLiterature', 'WrittenWork', 'Work']]"
FinancialTimes,[['Company']]
warriors,"[['BasketballTeam', 'Organisation', 'SportsTeam']]"
LILUZIVERT,"[['Person', 'Artist', 'MusicalArtist']]"
davido,"[['Person', 'Artist', 'MusicalArtist']]"
petewentz,"[['Person', 'MusicalArtist']]"
Ibra_official,"[['Person', 'Athlete', 'SoccerPlayer']]"
adgpi,"[['MilitaryUnit', 'Organisation']]"
NASAHubble,[['ArtificialSatellite']]
NASAHubble,"[['SpaceMission', 'SocietalEvent', 'Event']]"
ChespiritoRGB,[['MovieDirector']]
russwest44,"[['Person', 'Athlete', 'BasketballPlayer']]"
maluma,"[['Person', 'Artist', 'MusicalArtist']]"
jairbolsonaro,"[['Person', 'Politician']]"
Akon,"[['Person', 'MusicalArtist']]"
Ashton5SOS,"[['Person', 'Artist', 'MusicalArtist']]"
NaguibSawiris,[['BusinessPerson']]
INCIndia,[['PoliticalParty']]
Skrillex,"[['Person', 'Artist', 'MusicalArtist']]"
ElBaradei,"[['Person', 'Politician', 'Politician']]"
RollingStone,"[['Magazine', 'WrittenWork', 'PeriodicalLiterature', 'Work']]"
NHL,"[['IceHockeyLeague', 'SportsLeague', 'Organisation']]"
NHL,"[['SoccerLeague', 'SportsLeague', 'Organisation']]"
lonelyplanet,"[['Company', 'Publisher', 'Organisation']]"
vegetta777,"[['Person', 'Youtuber']]"
